Dataset,Mixture Label,CID,CID.0,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10,CID.11,CID.12,CID.13,CID.14,CID.15,CID.16,CID.17
Exp1,1,326,26331,1140,11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,2,7410,240,93009,8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,3,6544,62433,7519,7685,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,4,31276,8148,7762,18827,7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,5,7519,8148,31252,8103,7710,11002,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,6,7410,326,2758,62444,7770,1140,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,7,240,637511,7731,2758,12178,62336,8635,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,8,31276,62433,8129,12178,7519,18827,10722,0,0,0,0,0,0,0,0,0,0,0,0
Exp1,9,6544,93009,8130,8103,7710,7059,8918,7714,0,0,0,0,0,0,0,0,0,0,0
Exp1,10,7410,5281168,8797,7519,8129,7710,6654,8030,0,0,0,0,0,0,0,0,0,0,0
Exp1,11,62433,8797,2758,3314,8635,61138,11002,6054,10722,0,0,0,0,0,0,0,0,0,0
Exp1,12,5281168,637511,7685,12178,4133,7991,6054,7770,7714,0,0,0,0,0,0,0,0,0,0
Exp1,13,8797,7731,7966,3314,62336,7059,7991,61138,6054,11002,0,0,0,0,0,0,0,0,0
Exp1,14,240,2758,8130,8129,7710,7059,4133,8918,957,6654,0,0,0,0,0,0,0,0,0
Exp2,1,556940,7601,11086,61670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,2,62351,565690,10925,7593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,3,5363233,89440,126,11980,61293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,4,7194,520296,61670,637776,23642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,5,126,520296,7122,6050,5273467,5364231,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,6,2214,556940,8180,8077,325,11086,0,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,7,7601,778574,61331,8180,17121,24834,7593,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,8,7194,89440,6560,17121,126,637776,9012,0,0,0,0,0,0,0,0,0,0,0,0
Exp2,9,5363233,10925,5365049,6050,5273467,31219,7765,23642,0,0,0,0,0,0,0,0,0,0,0
Exp2,10,62351,1550470,7657,6997,6560,5273467,18554,2214,0,0,0,0,0,0,0,0,0,0,0
Exp2,11,89440,7657,7122,61293,7593,5367698,5364231,14104,9012,0,0,0,0,0,0,0,0,0,0
Exp2,12,1550470,778574,11980,61771,6998,444972,14104,325,23642,0,0,0,0,0,0,0,0,0,0
Exp2,13,7657,61331,61771,61293,24834,31219,444972,5367698,14104,5364231,0,0,0,0,0,0,0,0,0
Exp2,14,565690,8180,5365049,6560,8077,31219,6998,7765,6997,18554,0,0,0,0,0,0,0,0,0
Exp6,201,3314,7406,7685,7888,8174,10890,13187,82229,439570,5323652,0,0,0,0,0,0,0,0,0
Exp6,202,326,6501,6997,7059,7519,7685,7749,7888,62378,0,0,0,0,0,0,0,0,0,0
Exp6,203,2758,6501,6997,8130,8892,637563,638014,1712087,5352438,0,0,0,0,0,0,0,0,0,0
Exp6,204,263,3314,6501,8042,13187,62378,637511,1712087,5365049,0,0,0,0,0,0,0,0,0,0
Exp6,205,3314,7406,8130,8174,10882,13187,61072,1712087,5281167,5363374,0,0,0,0,0,0,0,0,0
Exp6,206,3314,8174,12265,13187,62378,102861,111418,637511,1712087,5365049,0,0,0,0,0,0,0,0,0
Exp6,207,263,6501,7888,8130,10890,61072,61832,62378,82227,5281167,0,0,0,0,0,0,0,0,0
Exp6,208,1213,2758,6501,7600,7685,8130,62378,637563,638014,1712087,0,0,0,0,0,0,0,0,0
Exp6,211,3314,7128,7731,10890,13187,102861,637511,1712087,5366074,0,0,0,0,0,0,0,0,0,0
Exp6,212,660,3314,7128,7519,7655,7710,8797,31252,61072,61832,0,0,0,0,0,0,0,0,0
Exp6,213,263,660,999,1213,6501,9017,82227,91497,637563,5365049,0,0,0,0,0,0,0,0,0
Exp6,214,1213,6544,6997,8892,10890,637563,1712087,5323652,5352438,0,0,0,0,0,0,0,0,0,0
Exp6,215,1213,6501,6997,7600,7749,10882,439570,5284503,5352438,5363374,0,0,0,0,0,0,0,0,0
Exp6,216,660,7600,7685,7710,8129,10882,31252,638014,5363233,5365049,0,0,0,0,0,0,0,0,0
Exp6,217,999,3314,7059,7600,8130,31252,62240,111418,637563,1712087,0,0,0,0,0,0,0,0,0
Exp6,218,263,325,3314,6501,7128,10890,111418,439570,637563,5281167,0,0,0,0,0,0,0,0,0
Exp6,221,660,999,6305,7655,7749,9017,10890,91497,102861,5352438,0,0,0,0,0,0,0,0,0
Exp6,222,3314,7059,8129,8892,12265,13187,18458,62378,82229,5363374,0,0,0,0,0,0,0,0,0
Exp6,223,6106,6544,7059,7519,7966,439570,637511,5323652,5363233,5365049,0,0,0,0,0,0,0,0,0
Exp6,224,7059,8892,13187,62378,82229,638014,5352438,5363233,5363374,0,0,0,0,0,0,0,0,0,0
Exp6,225,6544,7600,7749,8130,8797,18458,637511,637563,638011,5352438,0,0,0,0,0,0,0,0,0
Exp6,226,7059,7685,8129,31252,61072,62378,111418,439570,5281167,5365049,0,0,0,0,0,0,0,0,0
Exp6,227,3314,6106,6501,6544,8892,61832,62240,93375,5363233,0,0,0,0,0,0,0,0,0,0
Exp6,228,3314,6997,7600,7731,8892,9017,10890,31252,1712087,0,0,0,0,0,0,0,0,0,0
Exp6,231,1213,2758,6106,6305,7685,8797,82229,5284503,5323652,5363233,0,0,0,0,0,0,0,0,0
Exp6,232,263,326,6305,7128,7600,7888,13187,93375,5284503,5363374,0,0,0,0,0,0,0,0,0
Exp6,233,1213,7888,8130,8174,26331,61832,82227,93375,111418,5363233,0,0,0,0,0,0,0,0,0
Exp6,234,326,999,2758,6305,8129,8130,12265,93375,5281167,5352438,0,0,0,0,0,0,0,0,0
Exp6,235,999,6501,7406,7710,7749,8174,8797,22201,31252,5323652,0,0,0,0,0,0,0,0,0
Exp6,236,2758,6501,7600,7685,7749,10890,62378,91497,5281167,5365049,0,0,0,0,0,0,0,0,0
Exp6,237,326,7655,8892,82229,93375,637511,637563,638011,5363374,5365049,0,0,0,0,0,0,0,0,0
Exp6,238,263,2758,3314,6106,6305,7519,10890,638011,5281167,5363233,0,0,0,0,0,0,0,0,0
Exp6,241,263,325,1213,3314,6305,7406,7888,8797,0,0,0,0,0,0,0,0,0,0,0
Exp6,242,263,6501,7406,7731,7966,61072,111418,637511,1712087,5284503,0,0,0,0,0,0,0,0,0
Exp6,243,999,7406,7600,8129,8174,9017,31252,62378,93375,0,0,0,0,0,0,0,0,0,0
Exp6,244,326,7888,9017,18458,26331,31252,62240,5284503,5352438,5363233,0,0,0,0,0,0,0,0,0
Exp6,245,325,660,1213,7655,7731,7966,12265,111418,638011,5281167,0,0,0,0,0,0,0,0,0
Exp6,246,325,6106,7731,7966,8797,19310,31252,61832,5365049,0,0,0,0,0,0,0,0,0,0
Exp6,247,263,2758,6997,7966,8174,61832,62240,62378,638011,5352438,0,0,0,0,0,0,0,0,0
Exp6,248,325,1213,6501,7128,7519,7749,12265,26331,82227,5281167,0,0,0,0,0,0,0,0,0
Exp6,251,326,999,6544,7059,7655,8042,8129,18458,62378,5363233,0,0,0,0,0,0,0,0,0
Exp6,252,263,325,660,999,7128,7655,7710,7731,8797,18458,22201,61072,82227,637563,638014,1712087,5284503,5366074,0
Exp6,253,263,999,7059,7710,7749,7966,8129,8797,10882,22201,91497,638011,5284503,0,0,0,0,0,0
Exp6,254,999,7128,7519,7655,7710,8174,637563,5363233,5363374,5366074,0,0,0,0,0,0,0,0,0
Exp6,255,999,1213,8129,22201,82229,91497,102861,439570,5284503,5323652,5363233,5365049,0,0,0,0,0,0,0
Exp6,256,326,999,7059,7128,7710,7749,7888,11002,18458,31252,61072,638011,5363233,5363374,0,0,0,0,0
Exp6,257,1213,7406,8129,11002,31252,439570,5284503,5323652,5365049,0,0,0,0,0,0,0,0,0,0
Exp6,258,263,999,7059,7710,7749,7966,8129,8797,8892,10882,22201,91497,111418,638011,5284503,5366074,0,0,0
Exp6,261,263,999,7685,7749,62378,82227,637563,638014,5323652,5352438,0,0,0,0,0,0,0,0,0
Exp6,262,325,1213,6544,7406,7888,8174,12265,26331,62240,82229,637563,638014,1712087,5365049,5366074,0,0,0,0
Exp6,263,6106,6544,7059,10890,62240,62378,1712087,5352438,5363374,0,0,0,0,0,0,0,0,0,0
Exp6,264,263,325,660,6106,7128,7406,7519,7655,7685,7966,8129,8174,8797,18458,22201,62378,637511,5284503,5363374
Exp6,265,263,326,7406,7519,7966,8042,8174,9017,10890,22201,61072,638014,5323652,5365049,0,0,0,0,0
Exp6,266,263,3314,6501,7749,8130,8174,11002,61072,638011,5352438,0,0,0,0,0,0,0,0,0
Exp6,267,6305,7685,7710,7966,8797,9017,18458,62378,637511,5363233,5366074,0,0,0,0,0,0,0,0
Exp6,268,6544,7059,7731,8129,8130,8174,8797,62378,5284503,5363233,5363374,0,0,0,0,0,0,0,0
Exp6,271,326,6501,7059,7519,7600,7685,8174,8797,12265,22201,62378,439570,5363233,5365049,0,0,0,0,0
Exp6,272,999,7519,7710,7749,7888,11002,31252,61072,637563,5363233,0,0,0,0,0,0,0,0,0
Exp6,273,325,7406,7710,7731,7888,8130,10882,11002,26331,638011,5352438,5363374,0,0,0,0,0,0,0
