Dataset,Mixture Label,CID,CID.0,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10,CID.11,CID.12,CID.13,CID.14,CID.15,CID.16,CID.17
Exp1,1,58.44,83.56,54.68,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,2,42.56,63.66,47.4,46.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,3,40.66,38.18,70.08,45.88,55.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,4,50.56,60.0,66.88,41.46,37.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,5,70.08,60.0,76.76,47.14,71.6,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,6,42.56,58.44,67.42,74.86,65.6,54.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,7,63.66,53.86,66.24,67.42,74.4,44.48,46.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,8,50.56,38.18,47.56,74.4,70.08,41.46,52.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,9,40.66,47.4,46.78,47.14,71.6,48.34,35.66,37.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,10,42.56,76.18,49.08,70.08,47.56,71.6,47.52,60.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,11,38.18,49.08,67.42,55.68,46.96,57.88,46.4,29.56,52.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,12,76.18,53.86,45.88,74.4,53.84,49.42,29.56,65.6,37.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,13,49.08,66.24,50.54,55.68,44.48,48.34,49.42,57.88,29.56,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp1,14,63.66,67.42,46.78,47.56,71.6,48.34,53.84,35.66,46.18,47.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,1,51.6,45.04,44.01,68.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,2,64.93,17.03,86.01,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,3,59.61,14.52,9.36,62.69,61.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,4,27.53,28.73,68.28,41.41,75.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,5,9.36,28.73,62.04,21.75,36.19,64.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,6,25.13,51.6,17.45,74.57,51.0,44.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,7,45.04,34.61,21.92,17.45,76.63,66.27,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,8,27.53,14.52,39.4,76.63,9.36,41.41,33.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,9,59.61,86.01,51.71,21.75,36.19,73.83,57.11,75.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,10,64.93,80.27,35.01,85.37,39.4,36.19,38.29,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp2,11,14.52,35.01,62.04,61.55,9.91,59.85,64.56,39.88,33.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
