Dataset,Mixture 1,Mixture 2,Experimental Values
Exp1,1,3,38.47727273
Exp1,1,8,44.84090909
Exp1,1,11,31.02272727
Exp1,2,5,41
Exp1,2,7,65.18181818
Exp1,2,8,50.20454545
Exp1,3,2,46.65909091
Exp1,3,5,52.75
Exp1,4,3,42.75
Exp1,4,9,45.20454545
Exp1,5,7,40.43181818
Exp1,5,10,41.25
Exp1,5,14,46.97727273
Exp1,6,2,16.65909091
Exp1,6,3,28.63636364
Exp1,6,5,27.79545455
Exp1,6,10,37.06818182
Exp1,7,1,29.90909091
Exp1,7,4,46.93181818
Exp1,8,6,20.18181818
Exp1,8,12,37.18181818
Exp1,8,11,46.68181818
Exp1,8,10,37.47727273
Exp1,9,2,58.47727273
Exp1,9,6,22.84090909
Exp1,9,8,47.90909091
Exp1,9,13,44.43181818
Exp1,12,1,32.40909091
Exp1,12,3,38.68181818
Exp1,12,5,35.29545455
Exp1,11,2,54.63636364
Exp1,11,4,36.90909091
Exp1,11,12,26.22727273
Exp1,11,14,53.54545455
Exp1,10,9,41.40909091
Exp1,10,11,35.75
Exp1,13,1,32.04545455
Exp1,13,5,32.34090909
Exp1,13,7,61.29545455
Exp1,13,12,32.52272727
Exp1,13,10,30.88636364
Exp1,14,1,38.97727273
Exp1,14,3,46.88636364
Exp1,14,4,50.15909091
Exp1,14,6,19.65909091
Exp1,14,12,34.77272727
Exp1,1,1,89.13636364
Exp1,2,2,87.02272727
Exp1,1,2,28.04545455
Exp1,1,4,22.09090909
Exp1,1,5,59.04545455
Exp1,1,6,25.45454545
Exp1,1,9,35.22727273
Exp1,1,10,35.65909091
Exp1,2,4,60.59090909
Exp1,2,12,25.40909091
Exp1,2,10,29.65909091
Exp1,2,13,57.77272727
Exp1,2,14,60.5
Exp1,3,7,46.40909091
Exp1,3,8,51.43181818
Exp1,3,9,49.25
Exp1,3,11,49.56818182
Exp1,3,10,35.04545455
Exp1,3,13,60.36363636
Exp1,4,5,33.15909091
Exp1,4,6,20.72727273
Exp1,4,8,48.68181818
Exp1,4,12,33.25
Exp1,4,10,34.97727273
Exp1,4,13,43.02272727
Exp1,5,8,42.63636364
Exp1,5,9,37.43181818
Exp1,5,11,31.5
Exp1,6,7,16.27272727
Exp1,6,12,36.47727273
Exp1,6,11,15.04545455
Exp1,6,13,18.11363636
Exp1,7,8,56.31818182
Exp1,7,9,52.20454545
Exp1,7,12,31.59090909
Exp1,7,11,66.70454545
Exp1,7,10,33.18181818
Exp1,7,14,56.65909091
Exp1,8,13,56.68181818
Exp1,8,14,57.29545455
Exp1,9,12,26.31818182
Exp1,9,11,45.34090909
Exp1,9,14,77.25
Exp1,12,10,69.38636364
Exp1,11,13,72.40909091
Exp1,10,14,33.25
Exp1,13,14,50
Exp1,14,14,82.54545455
Exp1,13,13,74.45454545
Exp2,1,3,33.46
Exp2,1,8,35.6
Exp2,1,11,40.95
Exp2,2,5,25.09
Exp2,2,7,26.96
Exp2,2,8,37.95
Exp2,3,2,32.31
Exp2,3,5,56.78
Exp2,4,3,32.09
Exp2,4,9,32.57
Exp2,5,7,61.33
Exp2,5,10,51.96
Exp2,5,14,42.8
Exp2,6,2,51.83
Exp2,6,3,39.81
Exp2,6,5,32.72
Exp2,6,10,43.3
Exp2,7,1,33.56
Exp2,7,4,31.9
Exp2,8,6,45.06
Exp2,8,12,42.63
Exp2,8,11,56.58
Exp2,8,10,49.82
Exp2,9,2,62.48
Exp2,9,6,51.02
Exp2,9,8,52.02
Exp2,9,13,40.97
Exp2,12,1,23.82
Exp2,12,3,47.08
Exp2,12,5,47.65
Exp2,11,2,28.43
Exp2,11,4,29.37
Exp2,11,12,52.27
Exp2,11,14,54.5
Exp2,10,9,34.61
Exp2,10,11,52.61
Exp2,13,1,24.58
Exp2,13,5,67.98
Exp2,13,7,61.91
Exp2,13,12,62.72
