CID,nAcid,nCl,nX,AATS6dv,AATS8s,ATSC3c,ATSC8c,ATSC0Z,ATSC7i,AATSC5c,AATSC1s,AATSC1Z,AATSC4Z,AATSC5Z,AATSC0m,AATSC1se,AATSC1are,AATSC5i,MATS8d,MATS4s,MATS2se,GATS3c,GATS6c,GATS4d,GATS5s,GATS3i,GATS4i,BCUTdv_1l,BCUTd_1l,BCUTm_1h,RNCG,C3SP3,AXp_5d,AXp_6d,AXp_7d,AXp_4dv,AXp_5dv,NssNH,NaaO,NssS,NsCl,SdssC,SssNH,SsCl,MAXdCH2,MAXtsC,MAXaaNH,MINdCH2,MINtsC,MINaaNH,ETA_dAlpha_A,ETA_dEpsilon_D,MIC0,PEOE_VSA7,PEOE_VSA12,PEOE_VSA13,SlogP_VSA7,MID_X,AMID_X,n9Ring,n5HRing,nARing,n9ARing,n8FRing,n11FRing,nG12FRing,n8FHRing,nG12FHRing,n8FARing,n9FARing,n11FARing,nG12FARing,n8FAHRing,n9FAHRing,nG12FAHRing,GGI10,JGI10
176,2.92412693222283,-0.0783260449987958,-0.0783260449987958,-1.15748967746036,-1.01040271862146,-1.4917471689709,-0.0740392666132138,-1.96296940693178,0.257009150598237,-3.60265644565435,-5.37708731247702,-0.719495687124771,1.85349101912506,-2.67995626699371,0.613400808030061,-4.72498916379227,-4.56679275447581,-3.15192998231482,-0.938217570287021,2.33789387369336,2.18137393681287,0.758915162486269,-1.50671056893618,-1.87014567868213,-2.09352902621526,-1.54399718261833,-2.76699044030873,-0.0380556515419964,-0.238465294156686,-0.219102144314563,0.898496493491645,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,-1.21698592804729,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-1.31756780167183,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,3.40872045989055,1.12280423446728,-1.39732615464054,-0.111112983249355,8.57147450353196,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
177,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,-1.15748967746036,-1.01040271862146,-0.203609152869064,-0.0740392666132138,-2.73086453607686,0.257009150598237,-3.60265644565435,0.586588006016651,-0.556670335014346,-8.14926236217892,-2.67995626699371,0.177934229531313,0.375594840252986,0.359560333185512,-3.15192998231482,-0.938217570287021,-4.42375397857138,-0.578191041382404,1.11547115652521,-1.50671056893618,-2.84765925721736,-2.09352902621526,-12.0416944652928,-3.72587236868497,-0.0451755256134166,-0.468831354313019,-0.220175868774267,2.04172702779642,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,-1.21698592804729,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-0.0874438917721872,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,-0.669659324003545,0.653021051507727,-0.763752609213274,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
179,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,-1.15748967746036,-1.01040271862146,1.19684804534421,-0.0740392666132138,-0.796965376451402,0.257009150598237,0.452474986440205,-1.97943149756364,-0.447076412033573,-0.515119079173377,1.60551545267281,0.177934229531313,-1.2516978244113,-1.3944631128336,1.03581414161973,-0.938217570287021,-1.06665619662985,-0.296244241479617,0.32548063017681,-1.50671056893618,-1.87014567868213,-1.22255427995048,0.0773987729867508,-0.356911248375977,-0.0468899277786448,-0.188049373004389,-0.220121751959528,0.321528635589021,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,-1.21698592804729,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-0.360804758194738,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,1.76827798765905,0.653021051507727,-0.130179063786008,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
180,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,-1.15748967746036,-1.01040271862146,-0.606672032621201,-0.0740392666132138,-1.97769259359667,0.257009150598237,-3.60265644565435,-0.286270090745704,-0.441516673036292,1.11274622607646,-2.67995626699371,-0.0890342712334088,0.410483371005462,0.311080583055582,-3.15192998231482,-0.938217570287021,1.40485464689739,0.298319559180659,2.30376370092346,-1.50671056893618,-1.87014567868213,-2.09352902621526,0.109231659583879,-2.76699044030873,-0.0487560730468813,-0.238465294156686,-0.22017268541402,2.01110047963028,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,-1.21698592804729,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,0.15858090340554,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,-0.669659324003545,0.267454167901702,-0.130179063786008,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
240,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,-0.224250125818087,-1.01040271862146,0.137893971493086,-0.0740392666132138,-1.25364936588046,0.257009150598237,0.307460053918478,0.581477196160178,-0.00713493511269536,0.215305358494773,0.425764621967165,-0.315007818898636,0.410517623160647,0.371030305954291,1.06256021003834,-0.938217570287021,0.073137695237838,-0.856251246356442,-1.18736326398532,2.44539025007855,-0.00318206482418701,1.31956052515928,0.243377120832077,0.336982202042223,3.51276166856101,-0.355693465602329,-0.220175868774267,0.156287038677216,-0.443101625993187,0.492780340608055,0.703958291803823,1.06278200547539,-0.204019448177923,-0.20091012718192,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-0.0874438917721872,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,-0.669659324003545,-0.183108804070295,-1.39732615464054,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
261,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,-1.15748967746036,-1.01040271862146,-0.0327371769291695,-0.0740392666132138,-1.40206600872652,0.257009150598237,0.0521529569496119,1.06480777578593,-0.362191254574035,0.300368508633534,-0.47970559985516,-0.261194115240593,0.40428440230447,0.289552782046993,1.19543544808928,-0.938217570287021,0.123740837563109,-0.468976452394648,-0.725016422417395,-1.50671056893618,-0.711866251142604,2.46436427221781,-0.238520503801596,-0.570402388884267,-0.0664680552625121,-0.357622786385917,-0.220175868774267,1.19445131283836,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,0.13475186155933,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-0.0874438917721872,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,-0.669659324003545,-0.0238344270713576,-0.80977311513486,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
263,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,-0.224250125818087,-1.01040271862146,0.161603568114145,-0.0740392666132138,-1.1861453840631,0.257009150598237,0.0913079823833113,-0.364022526531488,-0.500088552202999,0.269911548155346,0.0609657931986064,-0.476963569241616,-0.478424585793341,-0.739645316677115,0.689025604883257,-0.938217570287021,0.452629981556375,-0.83393129509963,-1.07049547841063,0.585285584393336,-0.632667553408591,0.900841465106809,-0.1445648975697,-0.349191146342233,-0.066474207004404,-0.0287190746430338,-0.222402656121936,1.19524338946613,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,0.345599909815015,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-0.0874438917721872,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,1.73108903878996,-0.274493579513366,-0.80977311513486,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
264,2.92412693222283,-0.0783260449987958,-0.0783260449987958,-0.224250125818087,-1.01040271862146,-0.865584955138117,-0.0740392666132138,-0.796965376451402,0.257009150598237,-0.273747339810368,-0.984789216428316,-0.447076412033573,0.263838809943342,-1.38151328189154,0.177934229531313,-1.2516978244113,-1.3944631128336,0.70793755572968,-0.938217570287021,-0.115839483565736,1.75114739669572,-0.525904783848406,0.456412245006691,0.282702180334936,1.72870645201124,-0.144551942522069,-0.458845918938379,-0.0664665703609094,-0.185144770717069,-0.219102674746924,0.492112164737659,-0.443101625993187,-1.62636626925023,-1.39736380986277,-1.10164541728197,0.0775743976495395,-1.18230594996799,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-1.13646620869506,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,1.76827798765905,0.653021051507727,-0.80977311513486,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
307,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,1.90274522910993,1.60262807491217,-0.0950533508974657,-0.388523079672291,-0.602121288533414,0.637468867682974,0.37376287281892,0.571003191811891,-0.00713493511269535,0.200827874647713,0.438641538363559,-0.364474224382814,0.410517623160648,0.371030305954288,-0.243371079019848,2.37907325485765,0.28144163413382,-0.843971826224645,-1.05064578283682,1.17398509259441,0.64809181498191,-0.399215841487542,0.0614017474192948,0.303713540068251,3.51218676428899,-0.357695974376199,-0.220175338214069,-0.32122662996525,-0.443101625993187,0.465928569245871,0.62631944728689,0.902989247885026,-0.194570395886157,-0.192089461845686,-0.0783260449987958,-0.111113228057585,-0.24100419347639,-0.0783260449987958,-0.0874438917721872,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,-0.669659324003545,-0.462241109270113,-0.332227712202126,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
323,-0.296364216103666,-0.0783260449987958,-0.0783260449987958,1.28827990435295,-1.01040271862146,0.122511758651657,-0.0740392666132138,-0.729935826135937,0.6837469635817,0.314260116647567,-0.0415326116165288,0.142403298244999,-0.0700437572072197,0.173127587390369,-0.359551893262939,0.110208280387495,0.316577701803755,-0.073218249132366,-0.938217570287021,-0.103727204123582,1.19878181842908,-0.13145931937859,0.103051986360935,0.606953165598028,0.225026430171095,0.025330840081948,0.417181481936211,3.53501609469484,-0.132108518276854,-0.217665965167938,-0.0794102613245805,-0.443101625993187,0.162063078583015,0.379397118324405,0.639592779300726,-0.270554644590445,-0.342059258042218,-0.0783260449987958,8.94461485863562,-0.24100419347639,-0.0783260449987958,-0.0874438917721872,-0.0783260449987957,-0.0783260449987958,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.233171131238288,-0.103442281819373,-0.102726919343147,-0.253179569269375,-0.669659324003545,0.327910243403072,-0.287090536094871,-0.111112983249355,-0.111021436743972,-0.0783260449987957,-0.0783260449987958,-0.0783260449987957,-0.0783260449987958,-0.271657017634829,-0.347456064353631,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.0783260449987958,-0.0783260449987958,-0.111113228057585,-0.0783260449987958,-0.212610310397851,-0.207500644949567
