Model,Train_Corr,Train_RMSE,Test_Corr,Test_RMSE,Bootstrap_Corr_Mean,Bootstrap_Corr_CI_Lower,Bootstrap_Corr_CI_Upper,Bootstrap_RMSE_Mean,Bootstrap_RMSE_CI_Lower,Bootstrap_RMSE_CI_Upper
M9,0.9547518283426919,0.06312544130119564,0.7072889075910683,0.12142470167100584,0.7089238170737867,0.4187845433676495,0.9005864389282794,0.11952313935817448,0.07800215216957952,0.15860577483470226
M10,0.9967111191439987,0.019955925466333763,0.6957135493235019,0.11875870801499044,0.6922757189278584,0.39099551319872466,0.8951941581585793,0.11674662650003191,0.07502301907803598,0.15563751905482237
M11,0.9577639088312933,0.06247443568929452,0.7088060074108342,0.12251253052890217,0.7029945924929978,0.43265701557248687,0.8957543904673148,0.12083042341897739,0.08034945505148988,0.1592138347514288
M12,0.9797368409045879,0.047629726656444944,0.6940273170407774,0.12032276411141535,0.6938706613993055,0.40282818582689256,0.9026786043571473,0.11795041110973283,0.076682804670324,0.1596258112495205
M13,0.9651389853177482,0.06026204846932699,0.693811424522897,0.12446584539701021,0.6875006054623896,0.4193045426686592,0.8881785993545626,0.12324357162285186,0.08023236055750141,0.16276625221202737
M20,0.9835196377525174,0.0361397750096361,0.6699728695870341,0.12319720100704229,0.6807742588379285,0.4188860084129083,0.869790239394554,0.12070428553794312,0.07704545851808,0.1625827405353253
M21,0.9631887034544805,0.05246474836066955,0.6820134289806125,0.12034496903440804,0.6838877760635983,0.4030936686870467,0.8731243436235293,0.11835883192022828,0.0748416313340773,0.1606038577795536
M22,0.9884746472512044,0.04201741582571982,0.6487836893590906,0.12460805302520145,0.6517838101838054,0.4054879157277897,0.8425875155337141,0.12259673234175616,0.08232730761686782,0.15934127541860751
M23,0.9972161199952092,0.014456026158104835,0.6591217850651604,0.123920206847725,0.6634202546109287,0.35466217945607087,0.8677349145032454,0.1216001898328778,0.08098570215331213,0.16122164856870203
M24,0.9968064079053791,0.015610337845555426,0.6876644198079344,0.12119646618241578,0.6836749016144265,0.4120925917429246,0.860452712963702,0.11996556776804161,0.08062518827104738,0.1592499318936607
M25,0.9943965826246712,0.02682885810258781,0.6729078732624304,0.1214121982234031,0.6710957216763436,0.4061649208598042,0.8636560051716266,0.1197334054460761,0.07843108411735161,0.1579362523356188
M26,0.9744590661589919,0.051193954225933556,0.718366211135446,0.11997727003786474,0.7100776413235564,0.4380435343899944,0.8936872672584677,0.11805022288833089,0.07615656819866204,0.15649459685214123
M27,0.9829398787957934,0.044420628816062874,0.7236704364028863,0.11981374609469903,0.7248861823292323,0.4547061963192854,0.904030835163571,0.11704626589340537,0.07752735305066566,0.15711266580058836
M28,0.9963063327984996,0.020679951453647403,0.7155934305206569,0.11669888239444606,0.7061675787518702,0.4267628982527316,0.8921479211174587,0.11484601393834824,0.07722494029475337,0.15126628350743726
M29,0.9827172308050868,0.04481808573168704,0.7167614209370499,0.1210018780757588,0.7152876642072339,0.44494165431144,0.8968205056481534,0.11912131339265221,0.07842507238889893,0.15902165095946455
M30,0.9962532857032964,0.020909010904422487,0.7117484084946262,0.11752218694686746,0.7052812688952171,0.4267966350201726,0.8863968910432803,0.11559055815644678,0.07361985135947578,0.15483392367155052
M31,0.9825481964050177,0.044253069928697375,0.7144212142626144,0.11999416414477289,0.7121705838971426,0.44490344199962223,0.8993446561010736,0.11835607045845171,0.07760834910928317,0.15686138540369685
M32,0.993432496706898,0.03066361029588342,0.7065918838857772,0.11832738225263062,0.691022165673929,0.43597377447489494,0.8754718355800344,0.1178957713762919,0.08244220840867424,0.1527797428978353
